input,output
一开始摔得很厉害，后来摔得很厉害。,始初还跌个躘踵，后面就跌了个嘴抢地。
阎王高兴地说：“太宗皇帝真是可靠啊！”,阎王大喜道：“好一个有信有德的太宗皇帝！”
八戒挥手说：“不行，不行，不行！他有着神奇的力量，我们无法与他匹敌。”,八戒摆手道：“不，不，不！他有神通，我们不济。”
沙僧听到通关文牒，走近上前大声喊道：“师兄，师父的关文你读了吗？”,沙僧听得是通关文牒，止不住近前厉声高叫：“师兄，师父的关文你念他怎的？”
脚先吃的是什么？,先吃脚怎么说？
那兽遵从地藏的旨意，在森罗庭院里俯身，片刻后抬起头来，对地藏说道：“虽然有怪名，但不宜当面揭穿，也不能帮助捕捉他。”,那兽奉地藏钧旨，就于森罗庭院之中，俯伏在地，须臾抬起头来，对地藏道：“怪名虽有，但不可当面说破，又不能助力擒他。”
众僧连请不回，片刻后，风中显现出三位佛身，靠近灯光降临。唐僧匆忙跑到桥顶，倒身下拜。行者匆忙提醒道：“师父，可能是恶人，可能是妖怪。”,”众僧连请不回。少时，风中果现出三位佛身，近灯来了。慌得那唐僧跑上桥顶，倒身下拜。行者急忙扯起道：“师父，不是好人，必定是妖邪也。
四季含烟，直上凌云，秀丽端庄。,郁郁含烟贯四时，凌云直上秀贞姿。
沙和尚流下了眼泪，说道：“大哥说得真在理。你们两个留在这里好好看守，我会在别处守护。”,沙和尚滴泪道：“大哥言之极当。你两个着意，我在此处看守。”
许多人跟着他们俩说说话，争相观看。,两个人说说话儿，又领了许多人跟随争看。
众妖齐声欢呼，将八戒擒住，将他装进袋子里，然后束紧口绳，高高地吊在驮梁上。,众妖一齐呐喊，将八戒捉倒，装于袋内，束紧了口绳，高吊在驮梁之上。
相遇是一场永不疲倦的较量，胜负未定之前，决不罢休。,相遇这场无好散，不见高低誓不休。
在这个辰时开始布局，一直混战到夕阳西下。, 这一场自辰时布阵，混杀到日落西山。
还有面筋椿叶、木耳豆腐皮。,面筋椿树叶，木耳豆腐皮。
拂云叟笑着指着一座石屋说道：“想要吟诗作对吗？先来小庵喝茶吧，怎么样？”,”拂云叟笑指石屋道：“若要吟哦，且入小庵一茶，何如？
行者说：“如果没有办法，我就得告别了。”,”行者道：“既是无方，我且奉别。
高老道说：“吃不是大事，他现在会吹风，云雾飘渺，石头飞沙，吓坏了我家和邻居，都不得安宁。还把翠兰小女关在后宅，半年不见，不知道她怎么样了。所以我知道他是个妖怪，得请法师来除掉他。”,高老道：“吃还是件小事，他如今又会弄风，云来雾去，走石飞砂，唬得我一家并左邻右舍，俱不得安生。又把那翠兰小女关在后宅子里，一发半年也不曾见面，更不知死活如何。因此知他是个妖怪，要请个法师与他去退，去退。”
在夕阳西下的时候，衰草斜斜地铺在曲曲折折的河岸上；黄云飘荡，投下长长的影子，笼罩着长长的堤岸。,衰草斜阳流曲浦，黄云影日暗长堤。
在天兵神将和三太子的带领下，妖精被押送到天曹，等待着裁决；行者则陪同着唐僧，沙僧整理着行李，八戒整理着马匹，一起走上大路。,一边天王同三太子领着天兵神将，押住妖精，去奏天曹，听候发落；一边行者拥着唐僧，沙僧收拾行李，八戒拢马，请唐僧骑马，齐上大路。
每当行走时，总能感受到阵阵阴冷的风；而站立时，也能感受到层层煞人的气温。,行时阵阵阴风冷，立处层层煞气温。
长老感谢之后坐下，发现国王面容憔悴，精神萎靡：举手行礼时，动作有些笨拙；开口说话时，声音略显颤抖。,长老又谢恩坐了，只见那国王相貌尪羸，精神倦怠：举手处，揖让差池；开言时，声音断续。
大圣说：“哥说得对，我这段时间有点懒散，没和你们见面。不知道这几年我的武艺和以前相比怎么样了，我们兄弟俩来比比棍法吧。”,大圣道：“哥说得是，小弟这一向疏懒，不曾与兄相会，不知这几年武艺比昔日如何，我兄弟们请演演棍看。”
黄梅红杏可以食用，野草闲花不知道名字。,黄梅红杏堪供食，野草闲花不识名。
僧人们急忙跪倒迎接：“老爷离开的时候，与大家一起行走，今天是怎么从天上降临的呢？”,众僧慌忙跪接道：“老爷去时，与众步行，今日何从天上下来？”
八戒笑着说：“哥哥，你做任何事情都让我们左右为难。”,八戒笑道：“哥哥，你但干事，就左我们。”
经过三个小时的激烈战斗，魔王和孙大圣依旧不分胜负，暮色已经悄然降临。,那魔王与孙大圣战经三个时辰，不分胜败，早又见天色将晚。
那贼毫不容情，手持棒棒，毫不留情地袭来。长老一生诚信，遇到困难时，无奈之下，只得谎言道：“二位大王，请稍等，我有位小徒弟在后头。”,”那贼那容分说，举着棒，没头没脸的打来。长老一生不会说谎，遇着这急难处，没奈何，只得打个诳语道：“二位大王，且莫动手，我有个小徒弟，在后面就到。
祖师说：“流字门包含儒家、释家、道家、阴阳家、墨家、医家，有些人喜欢读经，有些人喜欢念佛，还有一些人喜欢朝圣和降圣。”,祖师道：“流字门中，乃是儒家、释家、道家、阴阳家、墨家、医家，或看经，或念佛，并朝真降圣之类。”
驿丞和太师欢天喜地地汇报女主的情况，不再提其他事情。,那驿丞与太师欢天喜地回奏女主不题。
原来这只是一种定身法，让七位仙女一个个睁大眼睛，目不转睛地站在桃树下。,这原来是个定身法，把那七衣仙女一个个睖睖睁睁，白着眼，都站在桃树之下。
阴君听了这番话，立刻下令让管簿判官逐一查清所有情况，并没有发现任何虚假的行者姓名。,阴君闻言，即唤管簿判官一一从头查勘，更无个假行者之名。
行者说：“太子如果真的出城来了，我会带他来见你。”,行者道：“那太子不出城便罢，若真个应梦出城来，我定引他来见你。”
雾气弥漫三界，云朵照亮四方。,吐雾遮三界，喷云照四方。
行者听到这话，心里默默认同：“的确，的确！”,”行者闻言，心中暗想道：“是是是！
行者匆忙转过头，挥手示意道：“快过来！”,”行者急回头，用手招呼道：“你来！
八戒说：“这老头说：这座山叫八百里狮驼山，山里有座狮驼洞，洞里有三个老妖和四万八千个小妖，专门吃人。如果我们靠近山边，就会被他们吃掉，别想逃掉！”,八戒道：“这老儿说：此山叫做八百里狮驼山，中间有座狮驼洞，洞里有三个老妖，有四万八千小妖，专在那里吃人。我们若躧着他些山边儿，就是他口里食了，莫想去得！”
落叶纷飞，云卷云舒。,淅淅潇潇飞落叶，飘飘荡荡卷浮云。
在微风中摇曳着宝树，金色的莲花在阳光下闪耀。,风摇宝树，日映金莲。
这位妖精真是厉害，居然学起了菩萨，双手合十，双脚交叉，坐在正中间。,好妖精，他也学菩萨，盘手盘脚的，坐在当中。
那万里长空苍茫，归鸦几点斜飞。,你看那：万里长空淡落辉，归鸦数点下栖迟。
在钯抓九条痕的时候，杖打魂魄已经败了。努力喜相持，用心要赌赛。,钯抓一下九条痕，杖打之时魂魄败。努力喜相持，用心要赌赛。
行者停下动作，说：“你刚刚认出叔叔吗？我考虑到牛大哥的情谊，先放过你，快把扇子给我用。”,行者却才收了手脚道：“你才认得叔叔么？我看牛大哥情上，且饶你性命，快将扇子拿来我使使。”
高老看到邪归正，很高兴，让家仆准备宴席，感谢唐僧。,高老见这等去邪归正，更十分喜悦，遂命家僮安排筵宴，酬谢唐僧。
行者说：“别理他，我们走吧。”,行者道：“兄弟，莫睬他，我们去罢。”
老人说：“我会伺候你们四位。”,老者道：“伏侍你四位。”
漫天雪白，目之所及皆是一片耀眼；漫天昏黄，飞行的方向也变得迷茫起来。,白茫茫，到处迷人眼；昏漠漠，飞时找路差。
那怪着急了，拔出脚来，立刻拿起圈子，用力一甩，口中喊道：“抓住！”,那怪急了，拔出脚来，即忙取圈子，往上一撇，叫声“着！”
见到本质，了解内心，与佛祖合一，修行圆满，即刻飞升。,这才是：见性明心参佛祖，功完行满即飞升。
这行者扶着唐僧站在白玉阶前，挺直身体不动。阶下的官员们个个都感到害怕，说：“这和尚实在太愚蠢了！怎么见到国王却不跪拜，也不说吉祥话？连唱个诺都没有，真是胆大妄为！”,这行者引唐僧站立在白玉阶前，挺身不动，那阶下众官，无不悚惧，道：“这和尚十分愚浊！怎么见我王便不下拜，亦不开言呼祝？喏也不唱一个，好大胆无礼！”
只有喝一口那井里的水，才能消除胎气。,须得那井里水吃一口，方才解了胎气。
太宗笑着说：“已经过了漫长的旅程，现在是贞观二十七年了。”,太宗笑道：“久劳远涉，今已贞观二十七年矣。”
他将白玉圭双手捧上，献给太子。,却将白玉圭双手捧上，献与太子。
突然，天蓬和天佑匆忙走出灵霄宝殿，向如来请示道：“请您稍等一下，我们主上即将到来。”,时有天蓬、天佑急出灵霄宝殿道：“请如来少待，我主大驾来也。”
"""主公，罗汉已飞升白日，您不必疑虑。唐御弟亦是深谙禅理的禅僧，我们都看错了中华男子，浪费了这次精神追求。请您上辇回朝吧。""",“是白日飞升的罗汉，我主不必惊疑。唐御弟也是个有道的禅僧，我们都有眼无珠，错认了中华男子，枉费了这场神思。请主公上辇回朝也。”
在这个四时八节的时候，景色优美，胜过瀛洲仙境。,四时八节好风光，不亚瀛洲仙景象。
穿过山门，众僧人汇报：“师父，今天早上，这棵树突然间朝向东边。我们记得您的指示，所以出城来迎接，果然看到了！”,方进山门，众僧报道：“师父，这树头儿今早俱忽然向东。我们记得师父之言，遂出城来接，果然到了！”
道：“哥啊，你不要提了，一提起来他就没完没了！”,道：“哥啊，不说你还好哩，只为说你，他一发无状！”
它们的脚尖很尖锐，有九个头聚集在一起。,两只脚尖利如钩，九个头攒环一处。
分开后，师父感到非常口渴，让八戒去找水，等了很久都没回来，于是又让我去找他。,分别之后，师父饥渴太甚，教八戒去寻水，久等不来，又教我去寻他。
行者无法抑制自己的情绪，说道：“老姆真是误了我，若早知是绣花针，根本无需麻烦你，只需向老孙要一担就够了。”,”行者忍不住道：“老姆误了我，早知是绣花针，不须劳你，就问老孙要一担也是有的。
国王下令：“雨停了！雨停了！再下也没用，只会淹坏农作物，毫无意义。”,那国王传旨道：“雨彀了！雨彀了！十分再多，又渰坏了禾苗，反为不美。”
他在半空中对抗，是场激烈的战斗：对手强劲，良才相遇。,他两个在半空中，这场好杀：棋逢对手，将遇良才。
真君显圣能变幻，老孙奋力赌博，赢得平局。,显圣真君能变化，老孙硬赌跌平交。
他的寺庙里有很多房间，大小不一，有二百多人。,原来他那寺里，有七八十个房头，大小有二百余众。
这位行者展现出了他的技艺，他将一把毫毛揪下，然后口嚼粉碎，喷向空中，口中喊道：“变！”,这行者要见功绩，使一个身外身的手段：把毫毛揪下一把，用口嚼得粉碎，望上一喷，叫声“变！”
在那火光中，那赛太岁被吓得魂飞魄散，无路可逃，只能束手就擒！,把那赛太岁唬得魄散魂飞，走头无路，在那火当中，怎逃性命！
八戒说：“藏得挺好的，只是水溅出来了，弄脏了衣服，有点难闻，你别觉得恶心。”,八戒道：“藏便藏得好；只是灒起些水来，污了衣服，有些腌脏臭气，你休恶心。”
如来听说了，便对众菩萨说：“你们在这里好好坐着，不要乱了禅位，我得去炼魔救驾了。”,如来闻说，即对众菩萨道：“汝等在此稳坐法庭，休得乱了禅位，待我炼魔救驾去来。”
沙僧说：“师兄可以放心继续前行，我们都明白了。”,沙僧道：“师兄放心前去，我等俱理会得了。”
行者问道：“你是在生气吗？”,那行者道：“骂你来？”
李天王早已发现了那阵势，迫切地想要派遣军队支援作战。,那阵上李天王早已看见，急欲提兵助战。
行者说：“这些神真是太不讲理了，明明应该早点让你们升天，为什么要来保护呢？”,”行者道：“这些神却也没理，只该教你们早死早升天，却来保护怎的？
四位长老纷纷低头感谢。,长老四众，俱各叩头谢恩。
那木叉轻轻按下祥云，收起葫芦，随即骷髅突然化为九股阴风，消失得无影无踪。,那木叉按祥云，收了葫芦，又只见那骷髅一时解化作九股阴风，寂然不见。
通晓天地，洞悉众生，智者寿如山海。,照乾坤上下群生，知者寿同山海。
在瞬间，听闻到天乐的悠扬声，感受到仙音的清脆响，空中弥漫着吉祥的光芒，笼罩着浓厚的瑞气，诸佛齐聚一堂，共同参拜如来。,一时间，天乐遥闻，仙音嘹喨，满空中祥光迭迭，瑞气重重，诸佛毕集，参见了如来。
唐僧说：“徒弟，这里不方便。”,唐僧道：“徒弟，他这里不方便。”
母女俩感激地磕头，匆忙地安排一些素斋来感谢。,娘儿两个磕头称谢不尽，慌慌忙忙的安排些素斋酬谢。
猴王高兴地穿上赭黄袍，大家高兴地排好队伍向他致敬，然后决定封鬼王为前部总督先锋。,猴王大喜，将赭黄袍穿起，众等欣然排班朝拜，即将鬼王封为前部总督先锋。
无论是成为仙还是成佛，都需要在个人方面进行安排。,不论成仙成佛，须从个里安排。
行者抓住他的耳朵，扯着他的鬃毛，把他拽起来，喊道：“八戒！”,行者揪着耳朵，抓着鬃，把他一拉，拉起来，叫声“八戒。”
在这场在山头上的对决中，不同于以往，气氛紧张而激烈：每一句话都可能引起争吵，每一个动作都带着敌意，愤怒的情绪在不断积累。,这一场在山头上赌斗，比前不同，真个是：言差语错招人恼，意毒情伤怒气生。
行者说：“古人说得好，酒是人生的终点，也是解除一切烦恼的良药。酒有多种用途，只要你喜欢喝酒，把贴身的侍婢叫进来，指给我看，我就变成他的样子，在旁边伺候，然后下手。”,行者道：“古人云，断送一生惟有酒。又云，破除万事无过酒。酒之为用多端，你只以饮酒为上，你将那贴身的侍婢，唤一个进来，指与我看，我就变作他的模样，在旁边伏侍，却好下手。”
一个人穿了浅黄色的衣服，脚上穿着莎蒲做的鞋子。,身穿一件浅黄衣，足踏一双莎蒲履。
木吐仰指着说道：“那不是吗？”,木吐仰面指道：“哪不是？”
行者说：“兄弟，你俩好好守护师父，等我变身之后，去城中找条僻静的路，连夜出发。”,行者道：“兄弟，你两个好生保守师父，待老孙变化了，去那城中看看，寻一条僻路，连夜去也。”
沙僧说：“不用打战。一来师兄头痛，二来我师父是个真正的僧人，不会因为色空而乱性。我们现在就在山坡下，风清气爽的地方，坐一晚养养精神，等天亮再决定怎么做。”,沙僧道：“不须索战。一则师兄头痛，二来我师父是个真僧，决不以色空乱性，且就在山坡下，闭风处，坐这一夜，养养精神，待天明再作理会。”
"""兄弟啊，已经过了二更了。""",“兄弟，二更时分了。”
行者明白了，转变成一颗仙丹：移动时坚定不移，永远圆润明亮。,行者心下顿悟，转身却就变做一粒仙丹：走盘无不定，圆明未有方。
三藏问：“是什么四句？”,”三藏道：“那四句？
龙王恭敬地说道：“我将遵从命令！”,龙王道：“遵命！遵命！”
努力棒打剑迎齐，稍显松慢或见阎王。,棒打剑迎齐努力，有些松慢见阎王。
金阙银銮，紫府并立；琪花瑶草，琼葩绽放。,金阙银銮并紫府，琪花瑶草暨琼葩。
"""你们为什么要来？我正要去给我的儿子找个帮手，担心家里没人照顾。真是麻烦你们了？快都回去吧！把门关上，看着家吧！""",“你们来怎的？我往自家儿子去处，愁那里没人伏侍，要你们去献勤塌嘴？都回去！关了门看家！”
那个人拿了钱，不管好不好，打开车子的上衣，热气腾腾地拿出一块糕给行者。,那人接了钱，不论好歹，揭开车儿上衣裹，热气腾腾，拿出一块糕递与行者。
祖师说：“可以了，过来，我教你秘诀。”,祖师道：“既如此，上前来，传与你口诀。”
三藏问：“是什么？”,三藏道：“是甚么？”
那呆子站在旁边气愤不已，不再说话。员外看到他们师徒生气，只能满脸堆笑地说道：“老师别着急，今天就先宽限一下，明天我准备一些旗鼓，邀请一些邻里亲戚，送你们出发。”,”那呆子气呼呼的立在旁边，再不敢言。员外见他师徒们生恼，只得满面陪笑道：“老师莫焦燥，今日且少宽容，待明日我办些旗鼓，请几个邻里亲戚，送你们起程。
再次发布恤孤榜文，经过清点，宫中老幼彩女共有三千人，皇帝下令将他们配给军队。,又出恤孤榜文，又查宫中老幼彩女共有三千人，出旨配军。
行者说：“我不知道。”,行者道：“不知，不知。”
那八人皆属良善之辈。,那八个都是好的。
神明们无处可躲，十万天兵四处逃窜，无法抵挡棍棒的威力。,棍打诸神没躲藏，天兵十万都逃窜。
他轻盈地飞进了朝廷。,你看他轻轻的飞入朝中。
行者说：“情况很难说。如果到了毒魔无法脱身的地方，八戒和沙僧救不了你，那时侯，我会想念你，忍不住再念叨你，就算十万里路，我也头疼；如果再见到你，我就不会有这样的想法了。”,行者道：“这个难说。若到那毒魔苦难处不得脱身，八戒沙僧救不得你，那时节，想起我来，忍不住又念诵起来，就是十万里路，我的头也是疼的；假如再来见你，不如不作此意。”
大圣说：“你要问我这根棍子，无论是天上还是地下，都有它的传说。”,大圣喝道：“你若问我这条棍，天上地下，都有名声。”
行者释放了国王，走到油锅旁边，喊着让烧火的人添加柴火，同时伸手进去探了一下，突然喊道：啊！,行者放了国王，近油锅边，叫烧火的添柴，却伸手探了一把，呀！
三个人一起离开，告别高老和所有亲友，往西边走。,一行三众，辞别高老及众亲友，投西而去。
猿猴说道：“佛、仙、神圣三者，逃脱轮回，永恒不朽，与天地同在，与山川共存。”,猿猴道：“乃是佛与仙与神圣三者，躲过轮回，不生不灭，与天地山川齐寿。”
那妖精说：“我知道了，可能是我把唐僧困住了，因为天地不容。你们把碎家火捡出去，再准备一些酒菜，不管荤素，我打算在天和地做证，和唐僧成亲。”,那妖精道：“小的们，我知道了，想必是我把唐僧困住，天地不容，故降此物。你们将碎家火拾出去，另安排些酒肴，不拘荤素，我指天为媒，指地作订，然后再与唐僧成亲。”
郡侯说：“很好，很好！”,郡侯称道：“甚好！甚好！”
来到花亭，却发现里面空无一人，只有一套衣服留在那里，不知道主人去了哪里。,寻至花亭不见，只有衣冠在亭，不知何往。
向观世灯佛祈祷。,南无观世灯佛。
三藏说：“僧人应该戒酒。”,三藏道：“酒乃僧家第一戒。”
"行者问道：“三清指的是什么？""",行者道：“那三清？”
八戒问：“他想出什么计谋？”,八戒道：“中他甚计？”
官员们的灵魂飞走，嫔妃和绣女们的容颜已经改变。,文武多官魂魄飞，嫔妃绣女容颜改。
大圣收起绳子，直接朝着山东走去。远远地，他看见唐僧躺在地上打滚，泪流满面。猪八戒和沙僧解开包袱，将行李整理好，分别摆放着。,大圣收绳子，径转山东，远远的看见唐僧睡在地下打滚痛哭，猪八戒与沙僧解了包袱，将行李搭分儿，在那里分哩。
唐僧心中充满了忧虑，跟着国王来到了后宫。他们听见了鼓乐声喧，闻到了阵阵异香，唐僧低下头，不敢抬头望着国王。,却说那唐僧忧忧愁愁，随着国王至后宫，只听得鼓乐喧天，随闻得异香扑鼻，低着头，不敢仰视。
那怪物也这样说了一遍。,那怪亦如此说一遍。
曾经喝醉过蟠桃宴，醒来时月亮还是一样的。耳朵大身体短，在南极被认为是长寿的人。,曾赴蟠桃醉几遭，醒时明月还依旧。长头大耳短身躯，南极之方称老寿。
吃完饭后，悟空问：“你家里姓什么？”,饭后，悟空道：“你家姓甚？”
一个时辰过去了，灵山很快就出现在眼前。,那里消一个时辰，早望见灵山不远。
八戒笑着说：“师父，他死了和你有什么关系？又不是你的家人，为什么要哭！”,八戒笑道：“师父，他死了可干你事？又不是你家父祖，哭他怎的！”
鬼使把门的问道：“你是谁，敢到这里来？”,把门的鬼使喝道：“你是甚人，敢来此处？”
在深山幽险的地方，果然是人迹罕至，妖邪出没；而翠柏苍松之间，也藏着许多修仙之人，他们的道心深厚。,崖深岫险，果是妖邪出没人烟少；柏苍松翠，也可仙真修隐道情多。
殿官跟着外出相请，都说：“从没见过，从没见过。”,当殿官随出外相请，都道：“未曾见，未曾见。”
波涛汹涌的四野，只听风声呼啸，水势滔滔。,万迭波涛连四野，只闻风吼水漫天。
三藏说：“小心，前面有座山很陡峭，怕马走不动，大家要小心。”,三藏道：“徒弟，前面有山险峻，恐马不能前，大家须仔细仔细。”
太师指向驿门外香案前穿着襕衣的人。,太师指道：“那驿门外香案前穿襕衣者便是。”
在朝中君王妃后，城中居民纷纷点燃香火，进行礼拜。,这朝中君王妃后，城中黎庶居民，各各焚香礼拜不题。
春娇说：“大王，拿铃子给我，我们也一起捉虱子吧。”,假春娇道：“大王，拿铃子来，等我也与你捉捉虱子。”
行者不敢贸然行事，只得走出竹林，对着众诸天解释道：“菩萨今日又重新安排了家务，为何不坐上莲台，不化妆，不展示自己的喜好，却在林中削竹子做些什么呢？”,行者不敢强，只得走出竹林，对众诸天道：“菩萨今日又重置家事哩，怎么不坐莲台，不妆饰，不喜欢，在林里削篾做甚？”
那魔王勃然大怒，下令文武官员：“将这个野和尚逮捕！”,那魔王大怒，教文武官：“拿下这野和尚去！”
小王子不分好歹，径直走进去，大声喝道：“你们是人是怪，赶紧说实话，不然我就要了你们的命！”,小王子不分好歹，闯将进去，喝道：“汝等是人是怪，快早说来，饶你性命！”
三藏说：“悟空，你看那边的山庄好像挺近的，我们过去住一晚，明天再走怎么样？”,三藏道：“悟空，你看那壁厢有座山庄相近，我们去告宿一宵，明日再行何如？”
寇员外康复后，重新整理了幢幡鼓乐，僧道亲友依然送行。,话表寇员外既得回生，复整理了幢幡鼓乐，僧道亲友，依旧送行不题。
听到这番话，萧瑀的脸上泛起了微笑，他知道对方是个好人。即使下马，他也以尊敬的态度向菩萨致敬，口中尊称道：“尊贵的大法长老，请原谅我的冒犯。大唐皇帝非常善良，朝中的文武官员都遵循着他的旨意。如今正在举办水陆大会，这袈裟正好适合给大都阐陈玄奘法师穿用。我和你一起去朝见皇帝。”,萧瑀闻言，倍添春色，知他是个好人，即便下马，与菩萨以礼相见，口称：“大法长老，恕我萧瑀之罪。我大唐皇帝十分好善，满朝的文武，无不奉行。即今起建水陆大会，这袈裟正好与大都阐陈玄奘法师穿用。我和你入朝见驾去来。”
三藏说道：“我的弟子来自东土，是钦差大臣，前往雷音寺拜佛求经。现在天色将晚，想在此借宿一晚。”,三藏道：“我弟子乃东土钦差，上雷音寺拜佛求经。至此处天色将晚，欲借上刹一宵。”
如来说道：“前往的时候，要小心走在路上，不要在天空飞行，要像半云半雾一样；要记得山水的景色，记住旅途的距离，告诉那个取经的人。或许信念会让人感到困难，所以我给了你五件宝贝。”,如来道；“这一去。要踏看路道，不许在霄汉中行，须是要半云半雾；目过山水，谨记程途远近之数，叮咛那取经人。但恐善信难行，我与你五件宝贝。”
他那月貌花容的容貌让人心动，却无人察觉到他其实是只老成的鼠辈，展现着狡黠的豪情！,你看他月貌花容娇滴滴，谁识得是个鼠老成精逞黠豪！
如来说道：从混沌初分，子时开天，丑时辟地，寅时有人，天地相交，万物皆生。,”如来道：“自那混沌分时，天开于子，地辟于丑，人生于寅，天地再交合，万物尽皆生。
行者说：“师父让我们走。”,行者喝道：“师父教走路哩！”
众僧说：“爷爷，我们是普通人，怎么能知道天意？而且前辈都分不清，我们该怎么办！”,众僧道：“爷爷，我等凡人，怎知天意？况前辈俱未辨得，我等如何处之！”
九曜星勇敢地对抗，成功击退敌人。,九曜星那个敢抵，一时打退。
沙僧说：“我没有什么能力，也不能打败妖怪。我觉得你两个都紧张过头了。”,沙僧道：“我也没甚手段，也不能降妖。我笑你两个都着了忙也。”
多次尝试，终究难以避免，已经答应和他一起治疗树木。,三番两次，其实难逃，已允了与他医树。
把自己带来的两只留下一只放在府堂镇库，作为将来免交灯油的证据；我们带走一只去灵山献给佛祖。,把自己带来的二只：“留一只在府堂镇库，以作向后免征灯油之证；我们带一只去，献灵山佛祖。”
在棋局相遇时，遇到了强大的对手，很难隐藏自己的兴致；而当遇到出色的对手时，必须付出更多的努力来发挥自己的才华。,棋逢对手难藏兴，将遇良才可用功。
千般俏的云龙飘荡在空中，号水推波，将浪花吹拂起来。,云龙透出千般俏，号水推波把浪吹。
行者说：“这不太辛苦，还挺好玩的。”,”行者道：“不辛苦，倒好耍子。
一群皂隶涌上来，将行者套上脑箍，用力收紧，结果把索子扢扑一声断开。,皂隶们齐来上手，把行者套上脑箍，收紧了一勒，扢扑的把索子断了。
兽鼎散发香气，云雾环绕着御衣；绛纱灯火明亮，宫扇轻轻摇动。,兽鼎香云袭御衣，绛纱灯火明宫扇。
这个人提醒道：“你要小心使用如意棒，只要稍微擦到一点就会受伤！”,这个说：“你仔细堤防如意棒，擦着些儿就破皮！”
龙王说：“上仙，你不用看看，这叉有3600斤重。”,龙王笑道：“上仙，你不看看。这叉有三千六百斤重哩！”
在那个时候，众神聚集在一起试图靠近大圣，但无法接近他，于是他们陷入了混乱的争吵和战斗中，惊动了玉帝。,当时众神把大圣攒在一处，却不能近身，乱嚷乱斗，早惊动玉帝。
这篇章讲述的是取经的途径，其实都是围绕着一个重要原则：注重自身本分。,这回书，盖言取经之道，不离乎一身务本之道也。
《经》云：极泰还生否？实有好逢凶。,正是：经云泰极还生否，好处逢凶实有之。
师徒们悠闲地宽待了一阵，确保白马吃饱，整理好行囊，直到第二天清晨才出发。,师徒们却宽住了半日，喂饱了白马，收拾行囊，至次早登程。
仰面笑的红孩说：“那猴子可能是上次没烧够，这次又来了。这次别放过他，一定要彻底烧焦他的皮肤和肉。”,红孩仰面笑道：“那猴子想是火中不曾烧了他，故此又来。这一来切莫饶他，断然烧个皮焦肉烂才罢！”
在岭头松郁郁，阻挡的是阳光；在崖下石磷磷，生长的是云雾。,碍日的，乃岭头松郁郁；生云的，乃崖下石磷磷。
当时邀请本处僧道，建立道场，每个人都写了文书，三天内呈奏。,当时召请本处僧道，启建道场，各各写发文书，申奏三天。
那些妃子胆子真大，把公主的衣服和钗环拿给皇后看，说：“这是公主穿的，戴的，现在都丢下了，光着身子，和那个和尚在天上打架，肯定是妖怪。”,那些妃子有胆大的，把那衣服钗环拿与皇后看了，道：“这是公主穿的，戴的，今都丢下，精着身子，与那和尚在天上争打，必定是个妖邪。”
"""那位郡侯原来如此清廉公正，深得民心，请允许他上座，我向他低头行礼道：“老师果然仁慈，我必当谨遵您的教诲。""",”那郡侯原来十分清正贤良，爱民心重，即请行者上坐，低头下拜道：“老师果舍慈悲，下官必不敢悖德。
真仙说：“不同意，不同意！”,真仙道：“不与，不与！”
九齿钯发出耀眼的光芒，双环发出清脆的响声；一手握着黑幽幽的棒子，双手飞快地舞动起来。,九齿钯，光耀耀，双环响亮；一条棒，黑悠悠，两手飞腾。
在孔雀出生的时刻是最危险的，它不仅会吃人，还能在短短的四十多里路程中将人吸进去。,孔雀出世之时最恶，能吃人，四十五里路把人一口吸之。
宣旨后，行者放下牌位和香炉，行礼后将状子递上。,蒙旨宣进，行者将牌位香炉放下，朝上礼毕，将状子呈上。
奶奶来了，快看报道：“大王，奶奶来啦！”,报道：“大王，奶奶来耶。”
行者问道：“这是怎么知道的？”,”行者道：“怎见得？
钦天监汇报说：“今天是适合远行的日子，因为这是吉星高照。”,有钦天监奏曰：“今日是人专吉星，堪宜出行远路。”
行者恨得拿起铁棒要打，但菩萨却制止他说：“不要打，我有自己的惩罚方式。”,恨得个行者轮铁棒要打，菩萨只叫：“莫打，我自有惩治。”
"寿星问：“还有什么没做完的事？""",寿星道：“还有甚么未完之事？”
赤脚大仙突然遇到大圣，大圣低头思考着计划，试图欺骗那位真正的仙人，以便偷偷地前往赴会。他问道：“老道要去哪里？”,那赤脚大仙觌面撞见大圣，大圣低头定计，赚哄真仙，他要暗去赴会，却问：“老道何往？”
他长什么样？戴着一顶左笄帽，穿着无污染的衣服。,你看他怎生模样：头戴左笄帽，身穿无垢衣。
小声议论道：“这位老爷真是不够细心，不拿馒头，怎么把饭弄脏了，弄脏了衣服怎么办？”,旁边小的道：“这位老爷忒没算计，不笼馒头，怎的把饭笼了，却不污了衣服？”
阎王说：“陛下请放心，还有二十年阳寿。案子已经清楚了，请返回人间。”,阎王道：“陛下宽心勿虑，还有二十年阳寿。此一来已是对案明白，请返本还阳。”
大圣展现出神通，化作与二郎相同的身材，脸庞相似，手持一柄如意金箍棒，仿佛是昆仑顶上的擎天之柱，吓住了马、流元帅，让他们战战兢兢，无法挥动旗帜；崩、巴二将也感到胆战心惊，无法挥动刀剑。,这大圣也使神通，变得与二郎身躯一样，嘴脸一般，举一条如意金箍棒，却就是昆仑顶上擎天之柱，抵住二郎神，唬得那马、流元帅，战兢兢，摇不得旌旗；崩、巴二将，虚怯怯，使不得刀剑。
